Mx,My,Mz,M_mag,km,label
32.10938,5.76294,-2.21191,32.697344040091394,0,Open
32.06055,5.71045,-2.5293,32.6632127016771,0,Open
32.03491,5.39062,-2.8418,32.60935555837466,0,Open
32.02393,5.01953,-3.30811,32.583298878994746,0,Open
31.92749,4.60449,-4.25049,32.53663490744395,0,Open
31.82129,4.31885,-5.55908,32.590647938219945,0,Open
31.70776,4.01245,-6.65649,32.64644939867428,0,Open
31.60034,3.43506,-7.28271,32.61010564630694,0,Open
31.66748,3.07617,-7.70386,32.735936985504175,0,Open
31.69189,2.77344,-7.83203,32.762914325905136,0,Open
31.70532,2.63672,-7.96997,32.79786624860983,0,Open
31.68579,2.57935,-7.8479,32.744951805684494,0,Open
31.6748,2.58667,-7.74536,32.71046343692642,0,Open
31.69922,2.53784,-7.67578,32.71389275342206,0,Open
31.71387,2.55493,-7.62451,32.717432210091,0,Open
31.7334,2.57446,-7.4231,32.69157282024834,0,Open
31.75903,2.6123,-7.45728,32.7272229623795,0,Open
31.8457,2.6709,-7.46094,32.816884998177386,0,Open
31.8396,2.69897,-7.48047,32.817708613518406,0,Open
31.78711,2.76489,-7.39868,32.753708867952646,0,Open
31.76514,2.75879,-7.44995,32.743500064687645,0,Open
31.86401,2.73315,-7.46826,32.84143951823975,0,Open
31.88354,2.7417,-7.51465,32.87167483478899,0,Open
31.95557,2.84424,-7.52563,32.95274286154948,0,Open
31.95435,2.82227,-7.43896,32.929983567517915,0,Open
31.9165,2.86743,-7.34985,32.87712612253997,0,Open
31.89209,2.84546,-7.34375,32.85015542188804,0,Open
31.85303,2.87598,-7.37549,32.82201447019058,0,Open
31.95435,2.82715,-7.30347,32.90005980368273,0,Open
32.03369,2.8064,-7.36206,32.98837830842401,0,Open
31.98486,2.86621,-7.21191,32.912886151654945,0,Open
31.95313,2.8833,-7.1936,32.87953492138993,0,Open
31.94458,2.9126,-7.06787,32.8465251811101,0,Open
31.87378,2.8894,-7.11792,32.786449471920555,0,Open
31.90674,2.91626,-7.05078,32.80637328970699,0,Open
31.9043,2.89795,-7.05566,32.80342681379645,0,Open
31.86401,3.05542,-6.95312,32.75662684695877,0,Open
31.89209,3.11157,-6.92261,32.78276683937919,0,Open
31.82129,3.27271,-6.87744,32.72009029574643,0,Open
31.77734,3.4375,-6.93115,32.70560478034461,0,Open
31.8689,3.61816,-6.71997,32.770045251670005,0,Open
31.7627,3.92578,-6.54175,32.66611934345584,0,Open
31.73706,4.29443,-6.26465,32.633249088789796,0,Open
31.74561,4.71802,-5.6311,32.584547782691416,0,Open
31.77734,5.16846,-5.03296,32.585932587679615,0,Open
31.87012,5.44434,-3.94897,32.57207010478302,0,Open
32.0105,5.50171,-2.76001,32.596910564871024,0,Open
32.06177,5.74707,-1.6272,32.61339738447683,0,Open
32.16431,5.72144,-0.32349,32.67081815978596,0,Open
32.28638,5.79834,0.90576,32.81541530192175,0,Open
32.37305,5.76294,1.99219,32.94229294906776,0,Open
32.51465,5.61646,2.97974,33.130438240713026,0,Open
32.69409,5.38574,3.84399,33.356947932864,1,Closed
32.81128,5.07446,4.5874,33.51677905601909,1,Closed
32.92358,4.75708,5.22461,33.6732606053364,1,Closed
32.9541,4.64966,5.31616,33.70242724302212,1,Closed
33.00049,4.65698,5.30029,33.74630167951149,1,Closed
33.03589,4.54956,5.44434,33.78919002168149,1,Closed
33.02124,4.76807,5.20142,33.76672256347808,1,Closed
32.94189,5.00244,4.87427,33.674189385323,1,Closed
32.84912,5.29053,3.94775,33.5058072954197,1,Closed
32.81128,5.47119,3.01514,33.40067491045802,1,Closed
32.65015,5.47974,1.84448,33.15813553203044,0,Open
32.54761,5.38696,0.47485,32.99381362128664,0,Open
32.38892,5.29053,-0.80688,32.82808099450377,0,Open
32.323,5.06592,-1.96289,32.77640632525933,0,Open
32.14233,4.86694,-3.1543,32.66138532399537,0,Open
32.07031,4.66797,-4.46533,32.714429529274994,0,Open
31.99585,4.31885,-5.45532,32.74366196452987,0,Open
31.93726,3.91113,-6.30859,32.78847086969137,0,Open
