Seq,Acc_X_Min,Acc_X_Max,Acc_X_Avg,Acc_X_Variance,Acc_X_StdDev,Acc_X_Range,Acc_X_Skew,Acc_X_Kurtosis,Acc_X_Energy,Acc_Y_Min,Acc_Y_Max,Acc_Y_Avg,Acc_Y_Variance,Acc_Y_StdDev,Acc_Y_Range,Acc_Y_Skew,Acc_Y_Kurtosis,Acc_Y_Energy,Acc_Z_Min,Acc_Z_Max,Acc_Z_Avg,Acc_Z_Variance,Acc_Z_StdDev,Acc_Z_Range,Acc_Z_Skew,Acc_Z_Kurtosis,Acc_Z_Energy,Gyro_X_Min,Gyro_X_Max,Gyro_X_Avg,Gyro_X_Variance,Gyro_X_StdDev,Gyro_X_Range,Gyro_X_Skew,Gyro_X_Kurtosis,Gyro_X_Energy,Gyro_Y_Min,Gyro_Y_Max,Gyro_Y_Avg,Gyro_Y_Variance,Gyro_Y_StdDev,Gyro_Y_Range,Gyro_Y_Skew,Gyro_Y_Kurtosis,Gyro_Y_Energy,Gyro_Z_Min,Gyro_Z_Max,Gyro_Z_Avg,Gyro_Z_Variance,Gyro_Z_StdDev,Gyro_Z_Range,Gyro_Z_Skew,Gyro_Z_Kurtosis,Gyro_Z_Energy,Mag_X_Min,Mag_X_Max,Mag_X_Avg,Mag_X_Variance,Mag_X_StdDev,Mag_X_Range,Mag_X_Skew,Mag_X_Kurtosis,Mag_X_Energy,Mag_Y_Min,Mag_Y_Max,Mag_Y_Avg,Mag_Y_Variance,Mag_Y_StdDev,Mag_Y_Range,Mag_Y_Skew,Mag_Y_Kurtosis,Mag_Y_Energy,Mag_Z_Min,Mag_Z_Max,Mag_Z_Avg,Mag_Z_Variance,Mag_Z_StdDev,Mag_Z_Range,Mag_Z_Skew,Mag_Z_Kurtosis,Mag_Z_Energy
4683.0,-3.69788,0.31738,-1.05879,0.03796,0.19483,4.01526,-0.00416,4.489,1.15899,-0.42004,1.12073,0.21016,0.00149,0.03861,1.54077,4e-05,4.37093,0.04566,-0.11938,0.63147,0.11801,0.00149,0.03862,0.75085,5e-05,4.94799,0.01542,-537.17041,590.82031,2.97729,852.86346,29.20383,1127.99072,-4338.78223,7.23348,861.72772,-562.31689,707.03125,1.08704,5199.59668,72.10823,1269.34814,65893.65625,3.40844,5200.7793,-385.86426,847.59521,3.18848,13809.39746,117.51339,1233.45947,48933.03906,2.6784,13819.55859,-23.63281,153.19824,3.37891,10.49568,3.2397,176.83105,53.97461,8.45318,21.91269,-63.29346,89.44092,41.20825,26.00784,5.09979,152.73437,55.95752,2.72506,1724.12732,-32.49512,75.04883,-11.33191,1.83152,1.35334,107.54395,0.1297,7.3645,130.24374
4684.0,-3.69788,0.31738,-1.05839,0.03789,0.19465,4.01526,-0.0042,4.50985,1.15808,-0.42004,1.12073,0.21029,0.00149,0.0386,1.54077,4e-05,4.365,0.04571,-0.11938,0.63147,0.11778,0.00148,0.03848,0.75085,5e-05,5.03339,0.01535,-537.17041,590.82031,3.24524,838.32532,28.95385,1127.99072,-4378.82227,7.45531,848.85712,-562.31689,707.03125,0.85266,5236.84473,72.36604,1269.34814,65090.97656,3.37989,5237.57178,-385.86426,847.59521,3.76648,13651.74121,116.84067,1233.45947,57859.28906,2.70707,13665.92285,-23.63281,153.19824,3.34265,10.29016,3.20783,176.83105,54.11215,8.82428,21.46348,-63.29346,89.44092,41.10034,24.93654,4.99365,152.73437,53.08583,2.8169,1714.17407,-32.49512,75.04883,-11.31189,1.79315,1.33909,107.54395,0.09608,7.63442,129.75204
4685.0,-3.69788,0.31738,-1.05994,0.03718,0.19282,4.01526,-0.00428,4.60456,1.16065,-0.42004,1.12073,0.21061,0.00147,0.03829,1.54077,4e-05,4.44872,0.04582,-0.11938,0.63147,0.11789,0.00147,0.03835,0.75085,5e-05,5.07326,0.01537,-537.17041,590.82031,3.40759,841.44672,29.0077,1127.99072,-4732.18945,7.40568,853.05865,-562.31689,707.03125,1.39648,5278.40625,72.65264,1269.34814,59297.63672,3.32858,5280.35693,-385.86426,847.59521,4.25415,13673.39453,116.93329,1233.45947,38882.01172,2.69825,13691.49023,-23.63281,153.19824,3.30151,10.51679,3.24296,176.83105,54.28572,8.57714,21.41678,-63.29346,89.44092,41.1084,24.85446,4.98542,152.73437,53.1125,2.82583,1714.75439,-32.49512,75.04883,-11.3114,1.79354,1.33923,107.54395,0.09368,7.63109,129.74139
4686.0,-3.69788,0.31738,-1.05885,0.03726,0.19303,4.01526,-0.00439,4.59837,1.15843,-0.42004,1.12073,0.2102,0.00148,0.03843,1.54077,4e-05,4.41693,0.04566,-0.11938,0.63147,0.11775,0.00147,0.0384,0.75085,5e-05,5.06225,0.01534,-537.17041,590.82031,2.86316,846.98755,29.10305,1127.99072,-3799.01489,7.30799,855.18536,-562.31689,707.03125,0.74707,5263.46826,72.54977,1269.34814,68624.34375,3.35222,5264.02637,-385.86426,847.59521,1.92932,13639.38379,116.78777,1233.45947,102345.04687,2.7103,13643.10352,-23.63281,153.19824,3.31213,10.59681,3.25527,176.83105,54.4045,8.44816,21.56703,-63.29346,89.44092,41.02881,24.31882,4.93141,152.73437,55.01913,2.9316,1707.6814,-32.49512,75.04883,-11.31702,1.81193,1.34608,107.54395,0.07844,7.50849,129.88684
4687.0,-3.69788,0.31738,-1.05674,0.03685,0.19196,4.01526,-0.00454,4.7176,1.15354,-0.42004,1.12073,0.20964,0.00148,0.03841,1.54077,4e-05,4.47091,0.04542,-0.11938,0.63147,0.1174,0.00146,0.03816,0.75085,5e-05,5.20372,0.01524,-537.17041,590.82031,2.80701,850.58936,29.16487,1127.99072,-3829.74146,7.25537,858.46869,-562.31689,707.03125,0.93933,5242.80664,72.40723,1269.34814,67277.29687,3.37231,5243.68994,-385.86426,847.59521,3.29163,13381.66113,115.67913,1233.45947,90015.74219,2.77367,13392.49219,-23.63281,153.19824,3.25696,11.03604,3.32205,176.83105,53.15253,8.05567,21.64381,-63.29346,89.44092,41.01062,24.33519,4.93307,152.73437,56.32047,2.93455,1706.20557,-32.49512,75.04883,-11.32263,1.81394,1.34683,107.54395,0.108,7.49261,130.01598
4688.0,-3.69788,0.31738,-1.05536,0.03681,0.19185,4.01526,-0.00468,4.74604,1.1506,-0.42004,1.12073,0.20921,0.00147,0.03833,1.54077,4e-05,4.53741,0.04524,-0.11938,0.63147,0.11682,0.00148,0.03853,0.75085,5e-05,5.09973,0.01513,-537.17041,590.82031,5.1886,1542.0708,39.26921,1127.99072,171965.95313,22.37138,1568.99231,-562.31689,707.03125,-0.16174,5223.63477,72.27472,1269.34814,80976.52344,3.40471,5223.6626,-385.86426,847.59521,2.39136,13222.65137,114.98979,1233.45947,103053.54687,2.8249,13228.3623,-23.63281,153.19824,3.28162,11.14812,3.33888,176.83105,52.75159,7.86454,21.91713,-63.29346,89.44092,41.03552,24.22782,4.92218,152.73437,54.8923,2.94891,1708.14136,-32.49512,75.04883,-11.27124,2.18275,1.47741,107.54395,2.12422,8.14161,129.22365
4689.0,-3.69788,0.31738,-1.05666,0.03671,0.19159,4.01526,-0.00455,4.75345,1.15323,-0.42004,1.12073,0.20949,0.00146,0.0382,1.54077,4e-05,4.57226,0.04535,-0.11938,0.63147,0.11663,0.00149,0.03862,0.75085,5e-05,5.07001,0.0151,-537.17041,590.82031,3.24341,1968.90466,44.37234,1127.99072,93566.38281,18.7228,1979.42468,-562.31689,707.03125,0.47852,5216.20264,72.22328,1269.34814,71671.0625,3.40666,5216.43359,-385.86426,847.59521,2.56287,13205.60547,114.91564,1233.45947,97537.45312,2.8313,13212.16895,-23.63281,153.19824,3.27295,11.12823,3.3359,176.83105,53.0053,7.907,21.84042,-63.29346,89.44092,41.11536,25.96267,5.09536,152.73437,78.42913,3.2261,1716.43469,-32.49512,75.04883,-11.18237,2.78525,1.66891,107.54395,6.27997,9.65851,127.83076
4690.0,-3.69788,0.31738,-1.05737,0.03651,0.19109,4.01526,-0.00451,4.78859,1.15455,-0.42004,1.12073,0.20956,0.00146,0.03814,1.54077,4e-05,4.58929,0.04537,-0.11938,0.63147,0.11686,0.00148,0.03852,0.75085,5e-05,5.0972,0.01514,-537.17041,590.82031,4.17969,2053.38843,45.31433,1127.99072,95686.47656,17.29916,2070.8584,-562.31689,707.03125,0.24231,5222.41553,72.26628,1269.34814,75214.10937,3.40124,5222.47412,-385.86426,847.59521,2.31201,13238.32227,115.05791,1233.45947,104247.97656,2.81955,13243.66406,-23.63281,153.19824,3.21423,11.52418,3.39473,176.83105,52.49177,7.58544,21.85547,-63.29346,89.44092,41.27637,26.82251,5.17905,152.73437,79.55865,3.12378,1730.56067,-32.49512,75.04883,-11.20618,2.80295,1.6742,107.54395,6.4359,9.62094,128.38141
4691.0,-3.69788,0.31738,-1.05707,0.03649,0.19103,4.01526,-0.00455,4.79788,1.1539,-0.42004,1.12073,0.20968,0.00146,0.03821,1.54077,4e-05,4.54954,0.04543,-0.11938,0.63147,0.11677,0.00148,0.03853,0.75085,5e-05,5.10284,0.01512,-537.17041,590.82031,3.87024,2052.57422,45.30534,1127.99072,97516.6875,17.34118,2067.55298,-562.31689,707.03125,0.26001,5223.5376,72.27405,1269.34814,74990.17187,3.39967,5223.60498,-385.86426,847.59521,2.19177,13210.98242,114.93904,1233.45947,104352.02344,2.82746,13215.78418,-23.63281,153.19824,3.18018,11.63511,3.41103,176.83105,53.30516,7.50382,21.74863,-63.29346,89.44092,41.35754,27.85865,5.27813,152.73437,84.15662,3.01422,1738.30481,-32.49512,75.04883,-11.21216,2.79466,1.67172,107.54395,6.47698,9.69666,128.50722
4692.0,-3.69788,0.31738,-1.05603,0.0364,0.19078,4.01526,-0.00465,4.83685,1.1516,-0.42004,1.12073,0.20951,0.00146,0.03822,1.54077,4e-05,4.55953,0.04535,-0.11938,0.63147,0.11666,0.00148,0.03849,0.75085,5e-05,5.13478,0.01509,-537.17041,590.82031,4.13025,2046.55811,45.2389,1127.99072,96066.28125,17.41838,2063.61743,-562.31689,707.03125,0.52734,5210.07764,72.18087,1269.34814,71362.25781,3.41357,5210.35596,-385.86426,847.59521,3.60413,13051.59961,114.2436,1233.45947,69246.72656,2.87877,13064.58398,-23.63281,153.19824,3.19446,11.6084,3.40711,176.83105,52.85196,7.51534,21.81296,-63.29346,89.44092,41.56824,31.88816,5.64696,152.73437,146.45279,3.80901,1759.80627,-32.49512,75.04883,-11.12061,3.73735,1.93322,107.54395,14.77808,11.54858,127.40527
