Seq,Acc_X_Min,Acc_X_Max,Acc_X_Avg,Acc_X_Variance,Acc_X_StdDev,Acc_X_Range,Acc_X_Skew,Acc_X_Kurtosis,Acc_X_Energy,Acc_Y_Min,Acc_Y_Max,Acc_Y_Avg,Acc_Y_Variance,Acc_Y_StdDev,Acc_Y_Range,Acc_Y_Skew,Acc_Y_Kurtosis,Acc_Y_Energy,Acc_Z_Min,Acc_Z_Max,Acc_Z_Avg,Acc_Z_Variance,Acc_Z_StdDev,Acc_Z_Range,Acc_Z_Skew,Acc_Z_Kurtosis,Acc_Z_Energy,Gyro_X_Min,Gyro_X_Max,Gyro_X_Avg,Gyro_X_Variance,Gyro_X_StdDev,Gyro_X_Range,Gyro_X_Skew,Gyro_X_Kurtosis,Gyro_X_Energy,Gyro_Y_Min,Gyro_Y_Max,Gyro_Y_Avg,Gyro_Y_Variance,Gyro_Y_StdDev,Gyro_Y_Range,Gyro_Y_Skew,Gyro_Y_Kurtosis,Gyro_Y_Energy,Gyro_Z_Min,Gyro_Z_Max,Gyro_Z_Avg,Gyro_Z_Variance,Gyro_Z_StdDev,Gyro_Z_Range,Gyro_Z_Skew,Gyro_Z_Kurtosis,Gyro_Z_Energy,Mag_X_Min,Mag_X_Max,Mag_X_Avg,Mag_X_Variance,Mag_X_StdDev,Mag_X_Range,Mag_X_Skew,Mag_X_Kurtosis,Mag_X_Energy,Mag_Y_Min,Mag_Y_Max,Mag_Y_Avg,Mag_Y_Variance,Mag_Y_StdDev,Mag_Y_Range,Mag_Y_Skew,Mag_Y_Kurtosis,Mag_Y_Energy,Mag_Z_Min,Mag_Z_Max,Mag_Z_Avg,Mag_Z_Variance,Mag_Z_StdDev,Mag_Z_Range,Mag_Z_Skew,Mag_Z_Kurtosis,Mag_Z_Energy
2173.0,-1.0177,0.0,-1.01499,0.0,0.00053,1.0177,0.0,2.94847,1.03021,-0.02588,0.00378,-0.00619,0.0,0.00061,0.02966,-0.0,2.35981,4e-05,-0.12476,0.0,-0.10901,0.0,0.00069,0.12476,-0.0,3.10438,0.01188,0.0,1.40381,1.10474,0.00667,0.08166,1.40381,4e-05,2.83003,1.22711,0.0,3.479,2.68616,0.00868,0.09316,3.479,-7e-05,2.81861,7.22412,0.0,2.0752,1.78711,0.00582,0.07627,2.0752,0.00024,2.88995,3.19958,-5.13916,0.0,-4.09863,0.0925,0.30413,5.13916,-0.00916,2.69545,16.89129,0.0,33.72803,32.72058,0.08412,0.29003,33.72803,-0.00509,3.46366,1070.7207,-3.58887,1.2207,-1.09326,0.4558,0.67513,4.80957,0.13855,3.77885,1.65102
2174.0,-1.0177,0.0,-1.01498,0.0,0.00053,1.0177,-0.0,2.9408,1.03019,-0.02588,0.00378,-0.0062,0.0,0.00061,0.02966,-0.0,2.36644,4e-05,-0.12476,0.0,-0.10902,0.0,0.00068,0.12476,-0.0,3.15737,0.01189,0.0,1.40381,1.10352,0.00668,0.08174,1.40381,6e-05,2.82605,1.22443,0.0,3.479,2.68616,0.00868,0.09316,3.479,-7e-05,2.81861,7.22412,0.0,2.0752,1.78833,0.00577,0.07599,2.0752,0.00022,2.8892,3.2039,-5.13916,0.0,-4.10242,0.09218,0.30362,5.13916,-0.00826,2.69562,16.92201,0.0,33.72803,32.72168,0.08411,0.29003,33.72803,-0.00536,3.46695,1070.7926,-3.58887,1.2207,-1.0824,0.4679,0.68403,4.80957,0.13681,3.62549,1.63948
2175.0,-1.0177,0.0,-1.01498,0.0,0.00053,1.0177,-0.0,2.94499,1.03018,-0.02588,0.00378,-0.0062,0.0,0.00061,0.02966,-0.0,2.36644,4e-05,-0.12476,0.0,-0.10903,0.0,0.00068,0.12476,-0.0,3.11124,0.01189,0.0,1.40381,1.10596,0.00665,0.08156,1.40381,4e-05,2.82016,1.22979,0.0,3.479,2.68799,0.00879,0.09373,3.479,-0.0001,2.78405,7.23406,0.0,2.0752,1.7865,0.00595,0.07713,2.0752,0.00023,2.87358,3.19753,-5.13916,0.0,-4.10669,0.09304,0.30503,5.13916,-0.0074,2.64159,16.95794,0.0,33.72803,32.72156,0.08408,0.28996,33.72803,-0.00534,3.46948,1070.78467,-3.58887,1.2207,-1.10681,0.44127,0.66428,4.80957,0.11195,3.64988,1.66631
2176.0,-1.0177,0.0,-1.01499,0.0,0.00053,1.0177,-0.0,2.96676,1.0302,-0.02588,0.00378,-0.0062,0.0,0.00062,0.02966,-0.0,2.3263,4e-05,-0.12476,0.0,-0.10903,0.0,0.00068,0.12476,-0.0,3.16318,0.01189,0.0,1.40381,1.10596,0.00665,0.08156,1.40381,4e-05,2.82016,1.22979,0.0,3.479,2.68982,0.00866,0.09307,3.479,-0.00012,2.84354,7.24379,0.0,2.0752,1.78467,0.00657,0.08103,2.0752,9e-05,3.43402,3.1916,-5.13916,0.0,-4.11377,0.09327,0.3054,5.13916,-0.00632,2.61308,17.01637,0.0,33.72803,32.72437,0.08352,0.28899,33.72803,-0.00591,3.52044,1070.9679,-3.58887,1.2207,-1.10486,0.44311,0.66567,4.80957,0.11068,3.61954,1.66383
2177.0,-1.0177,0.0,-1.015,0.0,0.00051,1.0177,-0.0,2.78897,1.03022,-0.02588,0.00378,-0.00619,0.0,0.00061,0.02966,-0.0,2.37051,4e-05,-0.12476,0.0,-0.10903,0.0,0.00068,0.12476,-0.0,3.16076,0.01189,0.0,1.40381,1.10535,0.00677,0.08229,1.40381,4e-05,2.77891,1.22856,0.0,3.479,2.68921,0.00878,0.09369,3.479,-0.00012,2.79503,7.24062,0.0,2.0752,1.78406,0.00655,0.08091,2.0752,0.0001,3.45913,3.18941,-5.13916,0.0,-4.11707,0.09209,0.30346,5.13916,-0.00581,2.65451,17.04231,0.0,33.72803,32.72034,0.08156,0.28559,33.72803,-0.00579,3.61863,1070.70215,-3.58887,1.2207,-1.11218,0.42258,0.65007,4.80957,0.07605,3.51264,1.65954
2178.0,-1.0177,0.0,-1.01501,0.0,0.00051,1.0177,-0.0,2.72991,1.03024,-0.02588,0.00378,-0.00619,0.0,0.00061,0.02966,-0.0,2.35529,4e-05,-0.12476,0.0,-0.10903,0.0,0.00068,0.12476,-0.0,3.17014,0.01189,0.0,1.40381,1.10718,0.00686,0.0828,1.40381,2e-05,2.73864,1.2327,0.0,3.479,2.68616,0.00935,0.0967,3.479,-0.00019,2.86087,7.22479,0.0,2.0752,1.78345,0.00645,0.08032,2.0752,0.0001,3.5358,3.18713,-5.13916,0.0,-4.12097,0.09272,0.30449,5.13916,-0.00495,2.61548,17.07512,0.0,33.72803,32.71936,0.08119,0.28494,33.72803,-0.00566,3.6441,1070.63794,-3.58887,1.2207,-1.10596,0.42613,0.65279,4.80957,0.07024,3.4513,1.64928
2179.0,-1.0177,0.0,-1.01501,0.0,0.00051,1.0177,-0.0,2.72513,1.03024,-0.02588,0.00378,-0.00619,0.0,0.00061,0.02966,-0.0,2.36169,4e-05,-0.12476,0.0,-0.10903,0.0,0.00068,0.12476,-0.0,3.16814,0.01189,0.0,1.40381,1.11084,0.00678,0.08234,1.40381,7e-05,2.67528,1.24075,0.0,3.479,2.68677,0.00931,0.0965,3.479,-0.00021,2.88841,7.22803,0.0,2.0752,1.78467,0.00627,0.07917,2.0752,0.0001,3.64554,3.19131,-5.13916,0.0,-4.12524,0.09018,0.30031,5.13916,-0.00509,2.6708,17.10782,0.0,33.72803,32.71558,0.08061,0.28392,33.72803,-0.00494,3.677,1070.38965,-3.58887,1.2207,-1.12793,0.41889,0.64722,4.80957,0.06979,3.5049,1.69112
2180.0,-1.0177,0.0,-1.015,0.0,0.00051,1.0177,-0.0,2.78633,1.03023,-0.02588,0.00378,-0.0062,0.0,0.00061,0.02966,-0.0,2.36062,4e-05,-0.12476,0.0,-0.10904,0.0,0.00069,0.12476,-0.0,3.0413,0.01189,0.0,1.40381,1.11023,0.00668,0.08175,1.40381,7e-05,2.72575,1.23929,0.0,3.479,2.68616,0.00942,0.09708,3.479,-0.00021,2.83807,7.22486,0.0,2.0752,1.78406,0.0064,0.07998,2.0752,9e-05,3.58232,3.18926,-5.13916,0.0,-4.12903,0.08911,0.29852,5.13916,-0.00444,2.71125,17.13799,0.0,33.72803,32.71204,0.08134,0.28519,33.72803,-0.0043,3.61085,1070.15869,-3.58887,1.2207,-1.13245,0.40047,0.63283,4.80957,0.01874,2.87226,1.6829
2181.0,-1.0177,0.0,-1.01501,0.0,0.00051,1.0177,-0.0,2.73761,1.03024,-0.02588,0.00378,-0.0062,0.0,0.00061,0.02966,-0.0,2.34395,4e-05,-0.12476,0.0,-0.10904,0.0,0.00069,0.12476,-0.0,3.04664,0.01189,0.0,1.40381,1.10901,0.00671,0.08191,1.40381,9e-05,2.71706,1.23661,0.0,3.479,2.68494,0.00972,0.0986,3.479,-0.00023,2.77293,7.2186,0.0,2.0752,1.78345,0.00645,0.08032,2.0752,0.0001,3.5358,3.18713,-5.13916,0.0,-4.13281,0.08746,0.29573,5.13916,-0.00411,2.77018,17.16759,0.0,33.72803,32.70764,0.0799,0.28266,33.72803,-0.00381,3.69706,1069.86987,-3.58887,1.2207,-1.13989,0.41018,0.64045,4.80957,0.01726,2.80614,1.70954
2182.0,-1.0177,0.0,-1.01501,0.0,0.00051,1.0177,-0.0,2.75986,1.03025,-0.02588,0.00378,-0.0062,0.0,0.00061,0.02966,-0.0,2.37039,4e-05,-0.12476,0.0,-0.10904,0.0,0.00069,0.12476,-0.0,3.04664,0.01189,0.0,1.40381,1.1084,0.00683,0.08267,1.40381,8e-05,2.68353,1.23538,0.0,3.479,2.6825,0.00971,0.09856,3.479,-0.0002,2.7532,7.20549,0.0,2.0752,1.78406,0.00655,0.08091,2.0752,0.0001,3.45913,3.18941,-5.13916,0.0,-4.12927,0.08598,0.29323,5.13916,-0.00446,2.84446,17.13687,0.0,33.72803,32.71106,0.08035,0.28346,33.72803,-0.00448,3.66884,1070.09412,-3.58887,1.2207,-1.14819,0.40781,0.6386,4.80957,0.02551,2.83768,1.72615
