Seq,Acc_X_Min,Acc_X_Max,Acc_X_Avg,Acc_X_Variance,Acc_X_StdDev,Acc_X_Range,Acc_X_Skew,Acc_X_Kurtosis,Acc_X_Energy,Acc_Y_Min,Acc_Y_Max,Acc_Y_Avg,Acc_Y_Variance,Acc_Y_StdDev,Acc_Y_Range,Acc_Y_Skew,Acc_Y_Kurtosis,Acc_Y_Energy,Acc_Z_Min,Acc_Z_Max,Acc_Z_Avg,Acc_Z_Variance,Acc_Z_StdDev,Acc_Z_Range,Acc_Z_Skew,Acc_Z_Kurtosis,Acc_Z_Energy,Gyro_X_Min,Gyro_X_Max,Gyro_X_Avg,Gyro_X_Variance,Gyro_X_StdDev,Gyro_X_Range,Gyro_X_Skew,Gyro_X_Kurtosis,Gyro_X_Energy,Gyro_Y_Min,Gyro_Y_Max,Gyro_Y_Avg,Gyro_Y_Variance,Gyro_Y_StdDev,Gyro_Y_Range,Gyro_Y_Skew,Gyro_Y_Kurtosis,Gyro_Y_Energy,Gyro_Z_Min,Gyro_Z_Max,Gyro_Z_Avg,Gyro_Z_Variance,Gyro_Z_StdDev,Gyro_Z_Range,Gyro_Z_Skew,Gyro_Z_Kurtosis,Gyro_Z_Energy,Mag_X_Min,Mag_X_Max,Mag_X_Avg,Mag_X_Variance,Mag_X_StdDev,Mag_X_Range,Mag_X_Skew,Mag_X_Kurtosis,Mag_X_Energy,Mag_Y_Min,Mag_Y_Max,Mag_Y_Avg,Mag_Y_Variance,Mag_Y_StdDev,Mag_Y_Range,Mag_Y_Skew,Mag_Y_Kurtosis,Mag_Y_Energy,Mag_Z_Min,Mag_Z_Max,Mag_Z_Avg,Mag_Z_Variance,Mag_Z_StdDev,Mag_Z_Range,Mag_Z_Skew,Mag_Z_Kurtosis,Mag_Z_Energy
2403.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.21,1.14,-1.25,1.19,0.17,0.07,0.27,2.44,0.0,2.2,0.1,-0.73,2.16,0.03,0.03,0.17,2.89,0.0,5.91,0.03,-185.67,451.35,-1.27,2785.83,52.78,637.02,-15467.39,3.69,2787.44,-224.67,220.34,0.18,1500.15,38.73,445.01,92863.19,15.81,1500.19,-222.66,181.7,2.85,6233.43,78.95,404.36,-211293.22,2.68,6241.54,-31.67,36.69,5.9,94.75,9.73,68.36,-240.28,1.89,129.52,0.0,84.07,14.15,7.71,2.78,84.07,23.37,5.9,207.84,-28.37,55.75,12.18,70.87,8.42,84.12,-275.32,3.08,219.27
2404.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.2,1.14,-1.25,1.19,0.17,0.07,0.27,2.44,0.0,2.16,0.1,-0.73,2.16,0.03,0.03,0.17,2.89,0.0,5.92,0.03,-185.67,451.35,-1.69,2797.83,52.89,637.02,-12318.13,3.65,2800.71,-224.67,220.34,0.04,1495.25,38.67,445.01,93371.38,15.94,1495.25,-222.66,181.7,3.31,6296.88,79.35,404.36,-213253.16,2.66,6307.85,-31.67,36.69,5.86,94.25,9.71,68.36,-233.72,1.9,128.55,0.0,84.07,14.38,12.91,3.59,84.07,134.65,17.88,219.68,-28.37,55.75,11.86,81.98,9.05,84.12,-573.63,4.07,222.7
2405.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.26,1.13,-1.25,1.19,0.17,0.07,0.27,2.44,0.0,2.13,0.1,-0.73,2.16,0.03,0.03,0.17,2.89,0.0,5.99,0.03,-185.67,451.35,-1.34,2797.03,52.89,637.02,-15154.02,3.66,2798.84,-224.67,220.34,0.25,1500.01,38.73,445.01,92529.33,15.8,1500.07,-222.66,181.7,2.39,6286.47,79.29,404.36,-197871.69,2.65,6292.17,-31.67,36.69,5.85,94.22,9.71,68.36,-232.59,1.9,128.46,0.0,84.07,14.6,16.61,4.08,84.07,198.66,15.45,229.85,-28.37,55.75,11.51,92.21,9.6,84.12,-813.59,4.35,224.69
2406.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.27,1.13,-1.25,1.19,0.17,0.07,0.27,2.44,0.0,2.13,0.1,-0.73,2.16,0.03,0.03,0.17,2.89,0.0,5.95,0.03,-185.67,451.35,-0.72,2806.11,52.97,637.02,-19697.94,3.64,2806.62,-224.67,220.34,0.31,1498.05,38.7,445.01,92286.56,15.83,1498.15,-222.66,181.7,1.92,6276.2,79.22,404.36,-189411.14,2.64,6279.87,-31.67,36.69,6.02,93.0,9.64,68.36,-261.48,1.94,129.26,0.0,84.07,14.92,26.41,5.14,84.07,484.9,19.26,249.07,-28.37,55.75,11.1,103.07,10.15,84.12,-1082.36,4.56,226.24
2407.0,-0.38,2.03,1.03,0.08,0.28,2.41,0.01,2.27,1.14,-1.25,1.19,0.16,0.07,0.27,2.44,0.0,2.18,0.1,-0.73,2.16,0.03,0.03,0.17,2.89,0.0,5.91,0.03,-185.67,451.35,-1.55,2673.71,51.71,637.02,-30141.62,3.7,2676.11,-224.67,220.34,0.47,1500.38,38.73,445.01,91592.14,15.76,1500.61,-222.66,181.7,4.04,6334.77,79.59,404.36,-204398.73,2.67,6351.11,-31.67,36.69,6.03,93.14,9.65,68.36,-262.97,1.94,129.52,0.0,84.07,15.22,33.31,5.77,84.07,645.0,15.95,265.09,-28.37,55.75,10.71,112.17,10.59,84.12,-1262.06,4.45,226.93
2408.0,-0.38,2.03,1.02,0.08,0.28,2.41,0.01,2.29,1.12,-1.25,1.19,0.16,0.07,0.27,2.44,0.0,2.18,0.1,-0.73,2.16,0.03,0.03,0.17,2.89,0.0,5.89,0.03,-185.67,451.35,-1.15,2658.27,51.56,637.02,-32693.15,3.75,2659.6,-224.67,220.34,0.65,1496.98,38.69,445.01,90881.65,15.8,1497.39,-222.66,181.7,4.25,6335.32,79.59,404.36,-208353.48,2.68,6353.4,-31.67,36.69,5.96,92.22,9.6,68.36,-254.55,1.96,127.8,0.0,84.07,15.46,37.43,6.12,84.07,706.71,13.44,276.34,-28.37,55.75,10.46,120.72,10.99,84.12,-1427.85,4.26,230.03
2409.0,-0.38,2.03,1.02,0.08,0.28,2.41,0.01,2.31,1.12,-1.25,1.19,0.16,0.07,0.27,2.44,0.0,2.15,0.1,-0.73,2.16,0.02,0.03,0.18,2.89,0.0,5.72,0.03,-185.67,451.35,-1.33,2640.37,51.38,637.02,-32657.56,3.78,2642.15,-224.67,220.34,0.95,1492.46,38.63,445.01,89646.52,15.85,1493.35,-222.66,181.7,2.86,6408.58,80.05,404.36,-191380.81,2.61,6416.76,-31.67,36.69,6.18,93.25,9.66,68.36,-286.08,1.97,131.38,0.0,84.07,15.77,45.2,6.72,84.07,889.24,11.76,293.89,-28.37,55.75,10.1,128.74,11.35,84.12,-1541.95,4.04,230.84
2410.0,-0.38,2.03,1.02,0.08,0.28,2.41,0.01,2.31,1.12,-1.25,1.19,0.17,0.07,0.27,2.44,0.0,2.13,0.1,-0.73,2.16,0.02,0.03,0.18,2.89,0.0,5.48,0.03,-185.67,451.35,-1.09,2656.45,51.54,637.02,-33740.79,3.75,2657.63,-224.67,220.34,0.65,1487.73,38.57,445.01,90875.05,16.0,1488.14,-222.66,181.7,4.99,6329.41,79.56,404.36,-205696.14,2.67,6354.32,-31.67,36.69,6.4,95.47,9.77,68.36,-304.85,1.98,136.41,0.0,84.07,16.1,53.98,7.35,84.07,1105.64,10.51,313.32,-28.37,55.75,9.75,135.08,11.62,84.12,-1599.77,3.83,230.05
2411.0,-0.38,2.03,1.02,0.08,0.28,2.41,0.01,2.28,1.12,-1.25,1.19,0.17,0.07,0.27,2.44,0.0,2.12,0.1,-0.73,2.16,0.02,0.03,0.18,2.89,0.0,5.48,0.03,-185.67,451.35,-0.95,2655.28,51.53,637.02,-34830.73,3.75,2656.19,-224.67,220.34,-0.11,1522.81,39.02,445.01,91992.53,15.45,1522.83,-222.66,181.7,5.36,6317.51,79.48,404.36,-212367.94,2.69,6346.29,-31.67,36.69,6.39,95.35,9.76,68.36,-305.02,1.98,136.22,0.0,84.07,16.37,59.69,7.73,84.07,1199.31,9.19,327.8,-28.37,55.75,9.49,142.19,11.92,84.12,-1682.79,3.62,232.22
2412.0,-0.38,2.03,1.02,0.08,0.28,2.41,0.01,2.29,1.12,-1.25,1.19,0.17,0.08,0.28,2.44,0.0,2.11,0.11,-0.73,2.16,0.01,0.03,0.18,2.89,0.0,5.3,0.03,-185.67,451.35,-0.04,2697.32,51.94,637.02,-38790.98,3.69,2697.32,-224.67,220.34,0.04,1524.13,39.04,445.01,91288.1,15.4,1524.13,-222.66,181.7,3.72,6269.95,79.18,404.36,-193466.42,2.68,6283.79,-31.67,36.69,6.51,96.55,9.83,68.36,-326.17,1.97,138.95,0.0,84.07,16.72,69.19,8.32,84.07,1432.47,8.4,348.9,-28.37,55.75,9.21,148.47,12.18,84.12,-1720.94,3.42,233.25
