Seq,Ax_min,Ax_max,Ax_sum,Ax_mean,Ax_variance,Ax_stdDev,Ax_range,Ax_skewness,Ax_kurtosis,Ax_energy,Ay_min,Ay_max,Ay_sum,Ay_mean,Ay_variance,Ay_stdDev,Ay_range,Ay_skewness,Ay_kurtosis,Ay_energy,Az_min,Az_max,Az_sum,Az_mean,Az_variance,Az_stdDev,Az_range,Az_skewness,Az_kurtosis,Az_energy,Gx_min,Gx_max,Gx_sum,Gx_mean,Gx_variance,Gx_stdDev,Gx_range,Gx_skewness,Gx_kurtosis,Gx_energy,Gy_min,Gy_max,Gy_sum,Gy_mean,Gy_variance,Gy_stdDev,Gy_range,Gy_skewness,Gy_kurtosis,Gy_energy,Gz_min,Gz_max,Gz_sum,Gz_mean,Gz_variance,Gz_stdDev,Gz_range,Gz_skewness,Gz_kurtosis,Gz_energy,Mx_min,Mx_max,Mx_sum,Mx_mean,Mx_variance,Mx_stdDev,Mx_range,Mx_skewness,Mx_kurtosis,Mx_energy,My_min,My_max,My_sum,My_mean,My_variance,My_stdDev,My_range,My_skewness,My_kurtosis,My_energy,Mz_min,Mz_max,Mz_sum,Mz_mean,Mz_variance,Mz_stdDev,Mz_range,Mz_skewness,Mz_kurtosis,Mz_energy
1638.0,-2.03333,0.16614,-79.83777,-0.79838,0.01439,0.11996,2.19946,0.00146,6.40346,0.6518,-1.05005,1.39417,47.6615,0.47661,0.05319,0.23064,2.44421,-0.02196,8.97665,0.28036,-1.20459,0.77234,-31.37048,-0.3137,0.05999,0.24492,1.97693,-0.00943,2.8331,0.1584,-401.42822,328.91846,71.04492,0.71045,1480.01379,38.47095,730.34668,-50563.98828,12.57299,1480.51904,-172.9126,217.77344,385.92529,3.85925,307.50806,17.53591,390.68604,4778.3335,6.91509,322.40186,-224.97559,200.07324,-103.14941,-1.03149,1198.42041,34.61821,425.04883,-154696.76563,22.31782,1199.48474,-29.41895,22.27783,-1648.93799,-16.48938,6.33679,2.5173,51.69678,12.1693,4.11311,278.23648,0.0,77.22168,7001.7334,70.01733,14.92081,3.86275,77.22168,19.05391,2.1476,4917.34961,-7.55615,41.11328,1897.30225,18.97302,21.19377,4.60367,48.66943,-54.93691,2.51187,381.1694
1639.0,-2.03333,0.16614,-79.80505,-0.79805,0.01438,0.11991,2.19946,0.00145,6.4055,0.65126,-1.05005,1.39417,47.71436,0.47714,0.05325,0.23075,2.44421,-0.02204,8.97561,0.28091,-1.20459,0.77234,-31.10315,-0.31103,0.06008,0.24511,1.97693,-0.00986,2.85389,0.15682,-401.42822,328.91846,71.65527,0.71655,1480.01453,38.47096,730.34668,-50591.10156,12.57354,1480.52808,-172.9126,217.77344,379.45557,3.79456,308.25604,17.55722,390.68604,4830.92822,6.89535,322.6546,-224.97559,200.07324,-103.94287,-1.03943,1198.31299,34.61666,425.04883,-154669.35938,22.3184,1199.39404,-29.41895,22.27783,-1650.3418,-16.50342,6.32415,2.51479,51.69678,12.42045,4.14639,278.68701,0.0,77.22168,6993.5791,69.93579,14.75455,3.84116,77.22168,21.07399,2.19936,4905.771,-7.55615,41.11328,1910.09521,19.10095,20.68933,4.54855,48.66943,-56.24855,2.59674,385.53574
1640.0,-2.03333,0.16614,-79.77356,-0.79774,0.01437,0.11989,2.19946,0.00143,6.4017,0.65075,-1.05005,1.39417,48.12366,0.48124,0.05251,0.22916,2.44421,-0.02242,9.33324,0.2841,-1.20459,0.77234,-30.63843,-0.30638,0.05847,0.2418,1.97693,-0.01002,2.98825,0.15234,-401.42822,328.91846,60.36377,0.60364,1482.00317,38.4968,730.34668,-50119.29688,12.52966,1482.36816,-172.9126,217.77344,382.08008,3.8208,308.00009,17.54993,390.68604,4808.58594,6.90134,322.59854,-224.97559,200.07324,-119.32373,-1.19324,1194.12073,34.55605,425.04883,-154212.23438,22.40731,1195.54504,-29.41895,22.27783,-1654.57764,-16.54578,6.31257,2.51248,51.69678,13.031,4.2131,280.07532,0.0,77.22168,6985.94971,69.8595,14.46121,3.80279,77.22168,22.46148,2.27008,4894.81201,-7.55615,41.11328,1919.9707,19.19971,19.92192,4.4634,48.66943,-55.38428,2.70356,388.55075
1641.0,-2.03333,0.16614,-80.25061,-0.80251,0.0132,0.11489,2.19946,0.00114,6.76147,0.65722,-1.05005,1.39417,47.69299,0.47693,0.05041,0.22451,2.44421,-0.02273,9.80072,0.27787,-1.20459,0.77234,-30.53882,-0.30539,0.05825,0.24135,1.97693,-0.01016,3.02041,0.15151,-401.42822,328.91846,-46.50879,-0.46509,1444.25342,38.00333,730.34668,-49479.68359,12.97654,1444.46948,-172.9126,217.77344,281.43311,2.81433,262.03259,16.18742,390.68604,1546.01379,5.63328,269.953,-224.97559,200.07324,35.64453,0.35645,980.42633,31.31176,425.04883,-127863.10156,29.36683,980.55304,-29.41895,22.27783,-1655.66406,-16.55664,6.32839,2.51563,51.69678,13.21653,4.20696,280.45078,0.0,77.22168,6980.82275,69.80823,14.32201,3.78444,77.22168,24.0547,2.32625,4887.51172,-7.55615,41.11328,1924.81689,19.24817,19.84581,4.45486,48.66943,-57.90096,2.74971,390.33786
1642.0,-2.03333,0.16614,-80.08972,-0.8009,0.01326,0.11517,2.19946,0.00109,6.66034,0.6547,-1.05005,1.39417,48.18713,0.48187,0.05072,0.22522,2.44421,-0.02316,9.86975,0.28292,-1.20459,0.77234,-29.87988,-0.2988,0.05668,0.23809,1.97693,-0.0103,3.15395,0.14597,-401.42822,328.91846,-63.96484,-0.63965,1446.10547,38.02769,730.34668,-48750.94531,12.92711,1446.51514,-172.9126,217.77344,279.54102,2.79541,262.01755,16.18696,390.68604,1560.86096,5.63564,269.83179,-224.97559,200.07324,17.39502,0.17395,977.50421,31.26506,425.04883,-127377.47656,29.44428,977.53442,-29.41895,22.27783,-1658.31299,-16.58313,6.32974,2.5159,51.69678,13.67297,4.24084,281.32996,0.0,77.22168,6974.4873,69.74487,14.16361,3.76346,77.22168,25.82905,2.39177,4878.51221,-7.55615,41.11328,1933.17871,19.33179,19.3952,4.404,48.66943,-59.54005,2.87192,393.11319
1643.0,-2.03333,0.16614,-80.03503,-0.80035,0.01323,0.115,2.19946,0.00107,6.68364,0.65379,-1.05005,1.39417,48.48523,0.48485,0.05023,0.22412,2.44421,-0.02348,10.16365,0.28531,-1.20459,0.77234,-29.60828,-0.29608,0.05601,0.23666,1.97693,-0.01058,3.252,0.14367,-401.42822,328.91846,-23.49854,-0.23499,1452.11609,38.10664,730.34668,-50277.54688,12.86096,1452.17114,-172.9126,217.77344,300.47607,3.00476,260.15152,16.12921,390.68604,1432.29614,5.69112,269.18011,-224.97559,200.07324,15.01465,0.15015,977.12677,31.25903,425.04883,-127312.21875,29.45427,977.14948,-29.41895,22.27783,-1660.08301,-16.60083,6.29962,2.5099,51.69678,13.95597,4.30385,281.88721,0.0,77.22168,6967.34619,69.67346,13.85341,3.72202,77.22168,26.90921,2.48288,4868.24609,-7.55615,41.11328,1944.07959,19.4408,18.84795,4.34142,48.66943,-60.49483,3.00386,396.79254
1644.0,-2.03333,0.16614,-79.96704,-0.79967,0.01315,0.11466,2.19946,0.00105,6.74232,0.65262,-1.05005,1.39417,48.89807,0.48898,0.04922,0.22185,2.44421,-0.02374,10.69828,0.28832,-1.20459,0.77234,-29.3689,-0.29369,0.05567,0.23595,1.97693,-0.01091,3.32068,0.14192,-401.42822,328.91846,0.97656,0.00977,1448.54065,38.0597,730.34668,-51266.66016,12.94753,1448.54089,-172.9126,217.77344,292.72461,2.92725,261.49609,16.17084,390.68604,1474.29309,5.64288,270.06482,-224.97559,200.07324,15.68604,0.15686,977.29547,31.26172,425.04883,-127328.67187,29.44773,977.32031,-29.41895,22.27783,-1661.69434,-16.61694,6.2443,2.49886,51.69678,14.1063,4.39343,282.36716,0.0,77.22168,6958.11768,69.58118,13.48812,3.67262,77.22168,27.64494,2.57333,4855.02979,-7.55615,41.11328,1955.77393,19.55774,18.70412,4.32483,48.66943,-62.95152,3.10435,401.20935
1645.0,-2.03333,0.16614,-79.7688,-0.79769,0.01269,0.11267,2.19946,0.00107,7.05158,0.649,-1.05005,1.39417,48.97998,0.4898,0.04937,0.22218,2.44421,-0.02384,10.66788,0.28927,-1.20459,0.77234,-29.13611,-0.29136,0.05557,0.23573,1.97693,-0.01127,3.36538,0.14046,-401.42822,328.91846,33.87451,0.33875,1439.08948,37.93533,730.34668,-52398.96484,13.14674,1439.20374,-172.9126,217.77344,314.14795,3.14148,255.76328,15.9926,390.68604,1447.7063,5.82806,265.63217,-224.97559,200.07324,21.60645,0.21606,977.17584,31.25981,425.04883,-127501.49219,29.48655,977.22272,-29.41895,22.27783,-1662.24365,-16.62244,6.21655,2.4933,51.69678,14.10335,4.43149,282.52197,0.0,77.22168,6948.24219,69.48242,13.25316,3.64049,77.22168,28.77937,2.65983,4841.06201,-7.55615,41.11328,1969.12842,19.69128,19.02806,4.36212,48.66943,-63.96698,3.17557,406.77478
1646.0,-2.03333,0.16614,-79.68994,-0.7969,0.01279,0.11309,2.19946,0.00105,6.9326,0.64784,-1.05005,1.39417,49.42468,0.49425,0.04917,0.22174,2.44421,-0.02427,10.92312,0.29345,-1.20459,0.77234,-28.90869,-0.28909,0.05543,0.23543,1.97693,-0.01161,3.41524,0.139,-401.42822,328.91846,84.53369,0.84534,1480.78796,38.48101,730.34668,-51718.48828,12.55367,1481.5022,-172.9126,217.77344,339.47754,3.39478,263.36813,16.22862,390.68604,1462.33557,5.55967,274.89267,-224.97559,200.07324,-62.01172,-0.62012,1025.42493,32.02225,425.04883,-128539.28125,26.60652,1025.80945,-29.41895,22.27783,-1664.83154,-16.64832,6.1036,2.47055,51.69678,14.16855,4.59728,283.27005,0.0,77.22168,6938.29346,69.38293,12.91415,3.59363,77.22168,29.35645,2.7583,4826.90771,-7.55615,41.11328,1982.34863,19.82349,19.32815,4.39638,48.66943,-65.28646,3.24145,412.2988
1647.0,-2.03333,0.16614,-80.06482,-0.80065,0.01044,0.1022,2.19946,-5e-05,4.74409,0.65148,-1.05005,1.39417,49.60681,0.49607,0.04974,0.22303,2.44421,-0.02439,10.75837,0.29583,-1.20459,0.77234,-28.17224,-0.28172,0.05389,0.23214,1.97693,-0.01158,3.57546,0.13325,-401.42822,328.91846,-43.396,-0.43396,1298.28979,36.03179,730.34668,-71145.03125,14.1571,1298.47803,-172.9126,217.77344,393.00537,3.93005,241.64178,15.54483,390.68604,2101.62915,5.69963,257.0871,-224.97559,200.07324,151.36719,1.51367,518.72284,22.77549,425.04883,-18952.54688,10.361,521.01404,-29.41895,22.27783,-1669.45801,-16.69458,6.20726,2.49144,51.69678,14.60115,4.54964,284.91629,0.0,77.22168,6923.9624,69.23962,13.37942,3.65779,77.22168,26.51824,2.93979,4807.50684,-7.55615,41.11328,1988.76953,19.8877,19.36017,4.40002,48.66943,-68.33896,3.27829,414.88068
