Seq,Ax_min,Ax_max,Ax_sum,Ax_mean,Ax_variance,Ax_stdDev,Ax_range,Ax_skewness,Ax_kurtosis,Ax_energy,Ay_min,Ay_max,Ay_sum,Ay_mean,Ay_variance,Ay_stdDev,Ay_range,Ay_skewness,Ay_kurtosis,Ay_energy,Az_min,Az_max,Az_sum,Az_mean,Az_variance,Az_stdDev,Az_range,Az_skewness,Az_kurtosis,Az_energy,Gx_min,Gx_max,Gx_sum,Gx_mean,Gx_variance,Gx_stdDev,Gx_range,Gx_skewness,Gx_kurtosis,Gx_energy,Gy_min,Gy_max,Gy_sum,Gy_mean,Gy_variance,Gy_stdDev,Gy_range,Gy_skewness,Gy_kurtosis,Gy_energy,Gz_min,Gz_max,Gz_sum,Gz_mean,Gz_variance,Gz_stdDev,Gz_range,Gz_skewness,Gz_kurtosis,Gz_energy,Mx_min,Mx_max,Mx_sum,Mx_mean,Mx_variance,Mx_stdDev,Mx_range,Mx_skewness,Mx_kurtosis,Mx_energy,My_min,My_max,My_sum,My_mean,My_variance,My_stdDev,My_range,My_skewness,My_kurtosis,My_energy,Mz_min,Mz_max,Mz_sum,Mz_mean,Mz_variance,Mz_stdDev,Mz_range,Mz_skewness,Mz_kurtosis,Mz_energy
635.0,-3.99951,3.99951,-2.87317,-0.02873,0.0,0.00056,7.99902,-0.0,2.44233,0.00083,-2.22778,2.12744,1.33813,0.01338,0.0,0.00054,4.35522,-0.0,3.24129,0.00018,-0.22485,2.62585,96.45044,0.9645,0.0,0.00112,2.85071,-0.0,2.10398,0.93027,-74.09668,120.72754,103.08838,1.03088,0.00744,0.08627,194.82422,-8e-05,2.68341,1.07016,-109.49707,194.94629,270.56885,2.70569,0.01043,0.10215,304.44336,-6e-05,2.67263,7.33118,-433.1665,468.20068,166.01562,1.66016,0.00514,0.0717,901.36719,-5e-05,2.1109,2.76126,-20.73975,17.66357,27.67334,0.27673,0.13509,0.36755,38.40332,0.01245,2.3749,0.21168,0.0,30.95703,1816.36963,18.1637,0.1044,0.3231,30.95703,0.00707,2.95648,330.02417,-2.73437,8.99658,645.8374,6.45837,0.4879,0.6985,11.73096,-0.04653,2.92955,42.19851
636.0,-3.99951,3.99951,-2.87244,-0.02872,0.0,0.00057,7.99902,-0.0,2.40468,0.00083,-2.22778,2.12744,1.33789,0.01338,0.0,0.00054,4.35522,-0.0,3.27658,0.00018,-0.22485,2.62585,96.45081,0.96451,0.0,0.00112,2.85071,-0.0,2.10001,0.93028,-74.09668,120.72754,103.14941,1.03149,0.00756,0.08696,194.82422,-8e-05,2.64653,1.07154,-109.49707,194.94629,270.44678,2.70447,0.01033,0.10165,304.44336,-3e-05,2.71289,7.32448,-433.1665,468.20068,165.89355,1.65894,0.00502,0.07085,901.36719,-4e-05,2.14552,2.75709,-20.73975,17.66357,27.89307,0.27893,0.13586,0.36859,38.40332,0.01178,2.346,0.21366,0.0,30.95703,1816.23535,18.16235,0.10405,0.32257,30.95703,0.00741,2.97847,329.97507,-2.73437,8.99658,646.0083,6.46008,0.48585,0.69703,11.73096,-0.04717,2.94931,42.21854
637.0,-3.99951,3.99951,-2.87146,-0.02871,0.0,0.00056,7.99902,0.0,2.41457,0.00082,-2.22778,2.12744,1.33813,0.01338,0.0,0.00054,4.35522,-0.0,3.31514,0.00018,-0.22485,2.62585,96.45142,0.96451,0.0,0.00112,2.85071,-0.0,2.08145,0.93029,-74.09668,120.72754,102.84424,1.02844,0.0077,0.08776,194.82422,-8e-05,2.64745,1.0654,-109.49707,194.94629,270.50781,2.70508,0.01027,0.10136,304.44336,-5e-05,2.74202,7.32772,-433.1665,468.20068,165.83252,1.65833,0.005,0.07068,901.36719,-4e-05,2.15989,2.75504,-20.73975,17.66357,28.06396,0.28064,0.13678,0.36984,38.40332,0.01147,2.31813,0.21554,0.0,30.95703,1816.17432,18.16174,0.10426,0.3229,30.95703,0.00755,2.9692,329.95316,-2.73437,8.99658,645.99609,6.45996,0.48565,0.69689,11.73096,-0.04723,2.95052,42.21675
638.0,-3.99951,3.99951,-2.87183,-0.02872,0.0,0.00055,7.99902,-0.0,2.33854,0.00083,-2.22778,2.12744,1.33899,0.01339,0.0,0.00054,4.35522,-0.0,3.3956,0.00018,-0.22485,2.62585,96.44836,0.96448,0.0,0.00114,2.85071,-0.0,2.06045,0.93023,-74.09668,120.72754,102.84424,1.02844,0.0077,0.08776,194.82422,-8e-05,2.64745,1.0654,-109.49707,194.94629,270.56885,2.70569,0.01043,0.10215,304.44336,-3e-05,2.71361,7.33118,-433.1665,468.20068,165.89355,1.65894,0.00509,0.07138,901.36719,-3e-05,2.13706,2.75716,-20.73975,17.66357,28.21045,0.2821,0.13703,0.37017,38.40332,0.0109,2.30657,0.21661,0.0,30.95703,1816.61377,18.16614,0.10405,0.32257,30.95703,0.00639,2.96815,330.11258,-2.73437,8.99658,645.05615,6.45056,0.46989,0.68549,11.73096,-0.05566,3.01113,42.07964
639.0,-3.99951,3.99951,-2.87183,-0.02872,0.0,0.00055,7.99902,-0.0,2.33854,0.00083,-2.22778,2.12744,1.33875,0.01339,0.0,0.00054,4.35522,-0.0,3.38518,0.00018,-0.22485,2.62585,96.44702,0.96447,0.0,0.00114,2.85071,-0.0,2.04803,0.9302,-74.09668,120.72754,102.90527,1.02905,0.00775,0.08803,194.82422,-9e-05,2.62219,1.0667,-109.49707,194.94629,270.69092,2.70691,0.01038,0.1019,304.44336,-6e-05,2.73841,7.33774,-433.1665,468.20068,165.83252,1.65833,0.00522,0.07225,901.36719,-4e-05,2.13698,2.75526,-20.73975,17.66357,27.57568,0.27576,0.14243,0.3774,38.40332,0.00948,2.2977,0.21847,0.0,30.95703,1816.73584,18.16736,0.10294,0.32084,30.95703,0.00678,2.98543,330.15582,-2.73437,8.99658,644.54346,6.44543,0.47117,0.68642,11.73096,-0.049,2.9909,42.0148
640.0,-3.99951,3.99951,-2.87073,-0.02871,0.0,0.00056,7.99902,-0.0,2.31916,0.00082,-2.22778,2.12744,1.33838,0.01338,0.0,0.00054,4.35522,-0.0,3.32352,0.00018,-0.22485,2.62585,96.44946,0.96449,0.0,0.00112,2.85071,-0.0,2.07149,0.93025,-74.09668,120.72754,102.72217,1.02722,0.00805,0.08973,194.82422,-0.0001,2.55939,1.06323,-109.49707,194.94629,270.69092,2.70691,0.01038,0.1019,304.44336,-6e-05,2.73841,7.33774,-433.1665,468.20068,165.83252,1.65833,0.00522,0.07225,901.36719,-4e-05,2.13698,2.75526,-20.73975,17.66357,27.56348,0.27563,0.14246,0.37744,38.40332,0.00953,2.29692,0.21844,0.0,30.95703,1817.7002,18.177,0.10196,0.31931,30.95703,0.00613,2.97485,330.50531,-2.73437,8.99658,644.86084,6.44861,0.47294,0.68771,11.73096,-0.05267,2.97306,42.0575
641.0,-3.99951,3.99951,-2.87158,-0.02872,0.0,0.00056,7.99902,0.0,2.31217,0.00082,-2.22778,2.12744,1.33813,0.01338,0.0,0.00054,4.35522,-0.0,3.29156,0.00018,-0.22485,2.62585,96.44958,0.9645,0.0,0.00112,2.85071,-0.0,2.06724,0.93025,-74.09668,120.72754,102.6001,1.026,0.00847,0.09204,194.82422,-0.00018,2.69269,1.06115,-109.49707,194.94629,270.50781,2.70508,0.0099,0.0995,304.44336,-0.00012,2.75066,7.32734,-433.1665,468.20068,165.95459,1.65955,0.00549,0.0741,901.36719,-1e-05,2.22464,2.75958,-20.73975,17.66357,28.23486,0.28235,0.14175,0.37649,38.40332,0.00748,2.30055,0.22147,0.0,30.95703,1818.34717,18.18347,0.10673,0.32669,30.95703,0.00741,2.90079,330.74536,-2.73437,8.99658,645.44678,6.45447,0.47001,0.68557,11.73096,-0.05935,3.01229,42.13017
642.0,-3.99951,3.99951,-2.87109,-0.02871,0.0,0.00056,7.99902,-0.0,2.3389,0.00082,-2.22778,2.12744,1.3396,0.0134,0.0,0.00052,4.35522,0.0,3.24436,0.00018,-0.22485,2.62585,96.44836,0.96448,0.0,0.00112,2.85071,-0.0,2.02605,0.93023,-74.09668,120.72754,102.53906,1.02539,0.00842,0.09176,194.82422,-0.00017,2.7158,1.05984,-109.49707,194.94629,270.32471,2.70325,0.00941,0.097,304.44336,-0.00018,2.74084,7.31695,-433.1665,468.20068,165.89355,1.65894,0.00554,0.07444,901.36719,-1e-05,2.19197,2.75761,-20.73975,17.66357,28.11279,0.28113,0.14017,0.37439,38.40332,0.00646,2.28675,0.2192,0.0,30.95703,1818.07861,18.18079,0.10446,0.32321,30.95703,0.00679,2.95371,330.64539,-2.73437,8.99658,645.08057,6.45081,0.46505,0.68195,11.73096,-0.05936,3.05029,42.07795
643.0,-3.99951,3.99951,-2.87207,-0.02872,0.0,0.00055,7.99902,0.0,2.39333,0.00083,-2.22778,2.12744,1.33984,0.0134,0.0,0.00053,4.35522,0.0,3.20268,0.00018,-0.22485,2.62585,96.44946,0.96449,0.0,0.00113,2.85071,-0.0,2.00287,0.93025,-74.09668,120.72754,102.66113,1.02661,0.00845,0.09191,194.82422,-0.0002,2.71333,1.06238,-109.49707,194.94629,270.56885,2.70569,0.00902,0.09497,304.44336,-0.00016,2.79958,7.32977,-433.1665,468.20068,165.89355,1.65894,0.00554,0.07444,901.36719,-1e-05,2.19197,2.75761,-20.73975,17.66357,27.36816,0.27368,0.14567,0.38166,38.40332,0.00558,2.26821,0.22057,0.0,30.95703,1817.79785,18.17798,0.10513,0.32424,30.95703,0.00749,2.92761,330.54398,-2.73437,8.99658,646.55762,6.46558,0.4562,0.67543,11.73096,-0.06774,3.13385,42.25988
644.0,-3.99951,3.99951,-2.87244,-0.02872,0.0,0.00055,7.99902,0.0,2.36053,0.00083,-2.22778,2.12744,1.33997,0.0134,0.0,0.00053,4.35522,0.0,3.1825,0.00018,-0.22485,2.62585,96.44812,0.96448,0.0,0.00113,2.85071,-0.0,1.99983,0.93023,-74.09668,120.72754,102.6001,1.026,0.0084,0.09163,194.82422,-0.00019,2.7359,1.06107,-109.49707,194.94629,270.50781,2.70508,0.00893,0.09451,304.44336,-0.00016,2.83646,7.32638,-433.1665,468.20068,165.83252,1.65833,0.00544,0.07378,901.36719,-1e-05,2.22177,2.75549,-20.73975,17.66357,27.67334,0.27673,0.14782,0.38448,38.40332,0.00545,2.22867,0.2244,0.0,30.95703,1818.09082,18.18091,0.10619,0.32586,30.95703,0.00691,2.87234,330.65161,-2.73437,8.99658,647.35107,6.47351,0.45068,0.67133,11.73096,-0.07441,3.20704,42.35703
